suffix,prev,word,next,sentence
み,もな,楽しみ,みだ,読書が彼のおもな楽しみだ。
み,くの,楽しみ,みを,読書から多くの楽しみを得るでしょう。
み,から,楽しみ,みを,読書から楽しみを引き出すのは読者次第です。
み,特に,痛み,はあ,特に痛みはありません。
み,旅の,楽しみ,みだ,道の人たちにあうのは旅の楽しみだ。
み,上の,強み,は何,同社の競走上の強みは何ですか。
み,喉の,痛み,があ,頭痛と喉の痛みがありますか。
さ,,痛さ,えな,頭痛さえなければいくのだが。
み,しい,痛み,があ,頭に激しい痛みがあった。
さ,々は,寒さ,に慣,当地の人々は寒さに慣れている。
み,り御,楽しみ,みく,当ホテルでの御宿泊をごゆっくり御楽しみください。
さ,ルの,高さ,はど,東京都庁ビルの高さはどのくらいありますか。
み,のを,楽しみ,みに,東京にいらしたときにお会いするのを楽しみにしています。
み,空が,白み,始め,東の空が白み始めていた。
み,空が,赤み,を帯,東の空が赤みを帯びている。
み,胃の,痛み,を訴,怒りっぽくなり、妻の料理にいつもけちを付け胃の痛みを訴えた。
み,活の,楽しみ,みを,都会に住んでいる人々は田園生活の楽しみを知らない。
さ,て尊,重さ,れる,伝統は伝統として尊重されるべきだ。
み,勤を,楽しみ,みに,転勤を楽しみにしています。
み,とで,楽しみ,みが,天気が良かったことで楽しみが増えた。
さ,井は,高さ,が１,天井は高さが１０フィートある。
さ,で延,長さ,れた,鉄道路線が津軽海峡の下を通って北海道まで延長された。
さ,花が,寒さ,でし,庭の花が寒さでしおれてしまった。
み,,痛み,止め,痛み止めを下さい。
み,,痛み,止め,痛み止めの注射をします。
み,,痛み,を抑,痛みを抑える薬を何かください。
み,,痛み,を感,痛みを感じる価値さえない。
み,,痛み,は今,痛みは今は和らぎ始めている。
み,,痛み,はや,痛みはやがて治まってくるでしょう。
み,,痛み,はひ,痛みはひどかった。
み,,痛み,はだ,痛みはだんだん無くなっていくだろう。
み,,痛み,はあ,痛みはありますか。
み,,痛み,に耐,痛みに耐えねばなりません。
み,,痛み,が少,痛みが少し減りました。
み,,痛み,が我,痛みが我慢できません。
み,,痛み,が右,痛みが右脚に走ります。
み,,痛み,がひ,痛みがひどくなってきました。
み,,痛み,がな,痛みがなくなりました。
み,,痛み,がと,痛みがとてもひどかったので眠れなかった。
み,,痛み,があ,痛みがあまりひどかったので、彼は薬を飲んだ。
さ,ル、,深さ,２メ,直径１メートル、深さ２メートルの穴を掘るのに、約２時間半かかりました。
み,暇を,楽しみ,みま,長い休暇を楽しみましょう。
み,実が,明るみ,みに,調査の後で２、３の重要な事実が明るみにでた。
み,行を,楽しみ,みに,トムさんは中国旅行を楽しみに待っています。
さ,倍の,広さ,だ。,中国は日本の約２５倍の広さだ。
さ,倍の,大きさ,さだ,中国は日本の２０倍の大きさだ。
さ,倍の,大きさ,さが,中国は日本の２０倍の大きさがあります。
さ,,恥ずかしさ,かし,恥ずかしさで彼女の頬が赤くなりはじめた。
さ,,恥ずかしさ,かし,恥ずかしさで彼女の顔をまともに見られなかった。
さ,,恥ずかしさ,かし,恥ずかしさで彼女のほおが赤くなりだした。
さ,,恥ずかしさ,かし,恥ずかしさで彼の頬は真っ赤になっていた。
さ,,恥ずかしさ,かし,恥ずかしさで彼のほおはかっと燃えていた。
さ,倍の,大きさ,さで,地球は月の約６倍の大きさである。
さ,段は,大きさ,さに,値段は大きさによります。
み,魔の,苦しみ,みも,断末魔の苦しみもなくなっていた。
み,日が,楽しみ,みだ,誕生日が楽しみだな。
さ,って,良さ,そう,誰かが手伝ってくれたら、せめて「ありがとう」ぐらいは言ったって良さそうなものだったのに。
さ,,大きさ,さを,大きさをお考えならば、その家は立派とは言えません。
さ,いう,若さ,で退,退職を選択する人々は、６２歳という若さで退職を選べるのである。もっとも、その年齢で社会保障年金を受け取り始めると、支払金額が２０％削減されてしまうことになるだろうが。
さ,横と,深さ,を掛,体積を計算するなら、縦と横と深さを掛ければよい。
さ,倍の,大きさ,さが,太陽は地球の約百万倍の大きさがある。
さ,倍の,重さ,があ,太陽は地球の３３万倍の重さがある。
さ,然の,美しさ,さに,多くの詩人が自然の美しさについて書いている。
さ,伎の,良さ,がわ,多くの外国人が歌舞伎の良さがわかります。
み,人の,悲しみ,みや,他人の悲しみや喜びが本当にわかる人はいない。
み,人の,弱み,に付,他人の弱みに付け込むな。
み,りを,楽しみ,みに,村人たちはみな祭りを楽しみにしている。
さ,さや,寒さ,に対,足の裏は暑さや寒さに対して鈍い。
さ,裏は,暑さ,や寒,足の裏は暑さや寒さに対して鈍い。
さ,知と,寂しさ,さに,相場師の中には老人の無知と寂しさに付け込む奴がいる。
み,手の,弱み,につ,相手の弱みにつけ込むような振る舞いだけはやめようや。
さ,富と,賢さ,のも,早寝早起きは健康と富と賢さのもと。
さ,,良さ,は抽,善良さは抽象的、親切な行為は具体的である。
さ,,良さ,には,善良さには美貌よりも人の心を多くひきつけるものがありますか。
さ,っと,良さ,そう,前よりもずっと良さそうですね。
さ,トの,高さ,まで,泉はおよそ１７０フィートの高さまで温水を吹き出す。
み,惨と,悲しみ,みが,戦争には悲惨と悲しみが伴う。
み,惨と,悲しみ,みが,戦争には悲惨と悲しみがつきものだ。
さ,川の,深さ,は五,川の深さは五フィートだ。
さ,識の,広さ,に驚,先生は彼の知識の広さに驚いた。
み,のは,楽しみ,みだ,先生にとって、彼女を教えるのは楽しみだった。
さ,膝の,深さ,だっ,雪は膝の深さだった。
さ,雪の,重さ,で家,雪の重さで家がつぶれた。
さ,形の,大きさ,さく,赤ちゃんはこの人形の大きさくらいしかない。
さ,同じ,重さ,の金,昔は、書物の価値は同じ重さの金とまでは行かないにしても、銀ぐらいの価値があった。
さ,,静けさ,さの,静けさの中、ナンシーは突然叫び声をあげた。
さ,,静けさ,さが,静けさが森を支配していた。
み,さの,痛み,を和,誠実さの痛みを和らげる。
さ,命の,尊さ,を考,生命の尊さを考えた事のない人は医学を志すべきではない。
み,みを,楽しみ,みに,生徒たちは夏休みを楽しみにしている。
さ,同じ,長さ,の辺,正方形は４つの同じ長さの辺をもつ。
さ,ら非,難さ,れた,政府の政策は野党から非難された。
さ,で非,難さ,れた,政府の政策は、世界中で非難された。
み,時に,痛み,があ,性交時に痛みがあります。
さ,橋の,長さ,はど,瀬戸大橋の長さはどのくらいありますか。
さ,は、,恥ずかしさ,かし,世間知らずのその男は、恥ずかしさで顔を赤らめた。
さ,店の,多さ,、マ,世界中でスポーツの人気が高まっていることは、新聞でのスポーツ・ニュース、スポーツ用品店の多さ、マラソンその他のレースに参加する人の数などによって明らかである。
み,った,痛み,のな,数々の主張からとった痛みのないエキス。
さ,れで,面白さ,さが,数字を足したり引いたりという面倒臭い仕事も一旦始めてしまえば、それはそれで面白さがあるものだよ。
さ,で面,白さ,があ,数字を足したり引いたりという面倒臭い仕事も一旦始めてしまえば、それはそれで面白さがあるものだよ。
み,虫が,痛み,ます,水虫が痛みます。
み,私の,楽しみ,みの,水泳が私の楽しみの１つです。
さ,ざの,高さ,だっ,水は私のひざの高さだった。
み,生は,楽しみ,みや,人生は楽しみや遊びばかりでない。
さ,ける,難しさ,さは,人生における難しさは選択である。
さ,用心,深さ,にあ,人生での成功の道は勤勉さと用心深さにある。
さ,と用,心深さ,さに,人生での成功の道は勤勉さと用心深さにある。
み,間の,苦しみ,みの,人を嫌うのは言うまでもなく、人を信頼できないことが、人間の苦しみの根源だ。
み,死の,悲しみ,みか,人は我が子の死の悲しみから完全に立ち直ることは出来ないと思う。
み,いと,苦しみ,みの,人には、迷いと苦しみのもとである煩悩がある。
さ,どの,静けさ,さだ,針の落ちる音も聞こえるほどの静けさだ。
さ,うな,寒さ,だ。,身をさすような寒さだ。
さ,供が,悪さ,をす,親は子供が悪さをするのをしかる。
さ,,親しさ,さは,親しさは侮りを生む。
み,書の,楽しみ,みを,親か先生が子供に読書の楽しみを十分にわからせなければならない。
さ,ほど,悪さ,をす,親がいないとどうしようもないほど悪さをする子供たちもいるものだ。
さ,森の,静けさ,さは,森の静けさは安らぎを与える。
さ,倍の,長さ,だ。,新トンネルは旧トンネルの２倍の長さだ。
さ,もの,長さ,にな,新しい橋は１．５Ｋｍもの長さになる予定だ。
さ,倍の,大きさ,さが,新しいホールは古いホールの２倍の大きさがある。
さ,,重さ,が足,慎重さが足りなくて彼が失敗したのは明らかだ。
み,心の,痛み,を感,心の痛みを感じたおまえを追うのが怖かった。
み,心が,痛み,ます,心が痛みます。
み,どが,痛み,ます,食べ物を飲み込むとのどが痛みます。
み,げで,痛み,がな,錠剤のおかげで痛みがなくなった。
さ,象の,大きさ,さに,象の大きさにその幼い少年はびっくりさせられた。
さ,床は,重さ,で曲,床は重さで曲がった。
み,女は,悲しみ,みに,少女は悲しみにうちひしがれた。
さ,包の,重さ,をは,小包の重さをはかってもらえますか。
み,雪の,重み,でミ,小屋の屋根は雪の重みでミシミシと音を立てた。
さ,女の,美しさ,さを,小さなあざは彼女の美しさを少しも損なわなかった。
さ,房の,悪さ,は六,女房の悪さは六十年の不作。
み,女の,強み,は舌,女の強みは舌にある。
み,生の,楽しみ,みを,書物は人生の楽しみを増やす。
み,きな,楽しみ,みが,書物から大きな楽しみが得られます。
さ,,暑さ,続き,暑さ続きでその植物はしぼんでしまった。
さ,暑さ,寒さ,も彼,暑さ寒さも彼岸まで。
さ,,暑さ,寒さ,暑さ寒さも彼岸まで。
さ,,暑さ,のた,暑さのため多くのランナーが意識を失った。
さ,,暑さ,のた,暑さのために花は萎れた。
さ,,暑さ,にや,暑さにやられた。
さ,この,暑さ,には,この暑さには全くまいります。
さ,,暑さ,にあ,暑さにあたった。
さ,,暑さ,で多,暑さで多くのランナーが意識を失った。
さ,,暑さ,で一,暑さで一晩中眠れなかったのさ。
さ,,暑さ,が彼,暑さが彼にはこたえた。
さ,,暑さ,が弱,暑さが弱まった。
み,のを,楽しみ,みに,春になったら会えるのを楽しみにしているよ。
み,とを,楽しみ,みに,春が再び巡ってくることを楽しみにしています。
さ,女の,美しさ,さに,出席者は彼女の美しさにうっとりした。
さ,退の,潔さ,をわ,出処進退の潔さをわきまえている、と彼は言っているけれど、いざとなったらどうだかね。
み,とと,楽しみ,みに,叔父から贈り物をもらえるものとと楽しみにしています。
み,,重み,で氷,重みで氷が砕けた。
さ,その,美しさ,さで,十和田湖はその美しさで有名である。
み,分に,楽しみ,みな,十分に楽しみなさい。
み,倒の,苦しみ,みを,週末に胆石が動いて、七転八倒の苦しみを味わったよ。
み,して,楽しみ,みな,終始勉強ばかりしていないで、たまには外出して楽しみなさい。
み,賄が,明るみ,みに,収賄が明るみにでた。
さ,,若さ,ゆえ,若さゆえに彼に対する告訴は取り下げられた。
さ,,若さ,は永,若さは永遠ではないということを忘れてはならない。
さ,,若さ,には,若さにはそれなりの利点がある。
み,ちに,楽しみ,みな,若いうちに楽しみなさい。
さ,も禁,煙さ,れた,釈迦に説法とは存じますが、医者も禁煙されたほうがよろしいのではないでしょうか。
み,実の,重み,で木,実の重みで木がたわんでいた。
さ,分の,美しさ,さに,自分の美しさに対する彼女のうぬぼれに多くの人が腹を立てた。
み,のを,楽しみ,みに,次の日曜日に君に会うのを楽しみにしています。
み,のを,楽しみ,みに,次の日曜に君に会うのを楽しみにしています。
み,会を,楽しみ,みに,次に話す機会を楽しみにして待ちませんか。
み,んな,悲しみ,みも,時はどんな悲しみも癒してくれる。
み,って,悲しみ,みは,時の翼に乗って悲しみは飛び去る。
み,強い,悲しみ,みで,時と思案はもっとも強い悲しみでも和らげる。
み,女の,悲しみ,みを,時が彼女の悲しみを癒した。
み,女の,悲しみ,みは,時がたつにつれ彼女の悲しみは薄れていった。
み,て、,悲しみ,みは,時が経つにつれて、悲しみは薄らぐ。
み,足を,楽しみ,みに,児童たちは、もうすぐやって来る遠足を楽しみにしている。
さ,を白,黒さ,せた,事の意外な成り行きに目を白黒させた。
み,ても,痛み,ます,歯がとても痛みます。
さ,する,難しさ,さに,詩を翻訳する難しさについては、すでにいろいろいわれてきた。
み,のを,楽しみ,みに,私達は来週ハイキングに行くのを楽しみにしています。
さ,舎の,美しさ,さを,私達は田舎の美しさを保存するべきだ。
み,人の,苦しみ,みに,私達は他人の苦しみに同情するべきだ。
み,きな,楽しみ,みを,私達は書物から大きな楽しみを得ることができる。
さ,しい,暑さ,のた,私達は激しい暑さのため戸外で遊べなかった。
み,のを,楽しみ,みに,私達はみんなあなたとあなたの家族に会えるのを楽しみにしています。
み,いを,怪しみ,みな,私達はその食べ物のにおいを怪しみながらかいだ。
さ,色の,美しさ,さに,私達はその景色の美しさに感嘆した。
み,事を,楽しみ,みに,私達はあなたとあなたの家族に会える事を楽しみに待っています。
さ,川の,深さ,をは,私達は、その川の深さをはかった。
み,行を,楽しみ,みに,私は旅行を楽しみにしている。
さ,点を,はずさ,さな,私は要点をはずさない。
さ,に告,白さ,せら,私は無理に告白させられた。
み,とを,楽しみ,みに,私は父と狩りに行くことを楽しみにしています。
さ,膝の,長さ,のス,私は膝の長さのスカートは好きです。
み,なる,悲しみ,みの,私は悲しく感じることが好きである。私はたいていの人は、いかなる悲しみの感情も避けようとすることを知っている。しかし、私はそれは間違っていると思う。
さ,女の,美しさ,さに,私は彼女の美しさにうっとりした。
さ,手の,温かさ,さを,私は彼女の手の温かさを覚えている。
み,残る,悲しみ,みの,私は彼女の顔に残る悲しみの跡を見た。
さ,運の,良さ,を羨,私は彼の運の良さを羨ましく思った。
み,たが,親しみ,みを,私は彼と話をして、彼がとまどっているようにも思えたが親しみを感じた。
み,のを,楽しみ,みに,私は彼から便りが来るのを楽しみに待っている。
み,鋭い,痛み,を感,私は突然胃に鋭い痛みを感じた。
み,少し,痛み,を感,私は頭に少し痛みを感じた。
み,きな,楽しみ,みだ,私は釣りが大きな楽しみだ。
み,胆の,苦しみ,みを,私は長い間臥薪嘗胆の苦しみをなめた。
み,のを,楽しみ,みま,私は川で泳ぐのを楽しみました。
さ,私は,静けさ,さを,私は静けさを楽しんでいた。
み,クを,楽しみ,みま,私は場末のジャズクラブに行って、ライブミュージックを楽しみます。
さ,私は,暑さ,のた,私は暑さのため眠れなかった。
さ,私は,暑さ,に弱,私は暑さに弱い。
さ,この,暑さ,にた,私はこの暑さにたえられない。
さ,私は,暑さ,には,私は暑さには慣れていた。
さ,私は,暑さ,にと,私は暑さにとても敏感だ。
み,十分,楽しみ,みま,私は十分楽しみました。
み,大変,楽しみ,みに,私は修学旅行を大変楽しみにしている。
さ,さに,恥ずかしさ,かし,私は自分の非礼さに恥ずかしさでいっぱいだった。
み,のを,楽しみ,みま,私は時々馬に乗るのを楽しみます。
さ,達の,騒々しさ,しさ,私は子供達の騒々しさは我慢できない。
さ,こか,でかさ,さを,私は公園のどこかでかさをなくしてしまった。かさを買わなければならない。
み,のを,楽しみ,みに,私は君や君の家族に会えるのを楽しみにしている。
み,のを,楽しみ,みに,私は君に会えるのを楽しみにしています。
み,のを,楽しみ,みに,私は君に会うのを楽しみに待っている。
さ,人の,美しさ,さは,私は教会である女性に会いましたが、その人の美しさはいつまでも印象に残っています。
み,らに,痛み,を感,私は急にわきばらに痛みを感じた。
さ,私は,寒さ,に敏,私は寒さに敏感だ。
さ,私は,寒さ,に弱,私は寒さに弱い。
さ,私は,寒さ,にな,私は寒さになれている。
み,私は,楽しみ,みに,私は楽しみにしています。
み,私は,楽しみ,みで,私は楽しみでピアノを弾く。
み,暇を,楽しみ,みに,私は海辺での楽しい休暇を楽しみにしている。
み,みを,楽しみ,みに,私は夏休みを楽しみに待っている。
み,しい,痛み,を覚,私は胃に激しい痛みを覚えた。
み,いて,楽しみ,みま,私はよく夕食後クラシック音楽を聴いて楽しみます。
さ,に非,難さ,れて,私は間違っている時に非難されても構わない。
み,その,痛み,をほ,私はその痛みをほとんどがまんできなかった。
さ,その,寒さ,にが,私はその寒さにがまんできない。
み,とを,楽しみ,みに,私はすぐにまたあなたに会えることを楽しみにしています。
み,とを,楽しみ,みに,私はコンサートに行くことを楽しみに待っている。
さ,倍の,大きさ,さの,この三倍の大きさの箱が欲しいんだ。
さ,この,寒さ,には,私はここの寒さには耐えられない。
み,スを,楽しみ,みに,私はクリスマスを楽しみに待っています。
み,りを,楽しみ,みに,私はあなたのお便りを楽しみにお待ちしています。
み,のを,楽しみ,みに,私はあなたに間もなくお会いするのを楽しみにしています。
み,とを,楽しみ,みに,私はあなたに会えることを楽しみにしている。
み,のを,楽しみ,みに,私はあなたに会うのを楽しみにしています。
み,とを,楽しみ,みに,私はあなたに会うことを楽しみに待っています。
み,とを,楽しみ,みに,私はあなたにまもなく会えることを楽しみにしている。
み,のが,楽しみ,みだ,私はあなたにこの街を案内してあげるのが楽しみだ。
み,のを,楽しみ,みに,私はあなたにお会いするのを楽しみにしています。
み,して,楽しみ,みま,私はあなたにお会いし、昔の話をして楽しみました。
み,同じ,苦しみ,みに,私はあなたが味わったのと同じ苦しみに悩んでいる。
み,のを,楽しみ,みに,私はあなたが日本に来るのを楽しみにしています。
み,のを,楽しみ,みに,私はあなたからすぐに便りをもらうのを楽しみにしています。
み,のを,楽しみ,みに,おいでになるのを楽しみにしています。
み,のが,楽しみ,みだ,私は、毎秋りんご園へ行くのが楽しみだ。
さ,景の,美しさ,さに,私は、風景の美しさについて、述べた。
さ,て禁,煙さ,せた,私は、父を説得して禁煙させた。
さ,大な,美しさ,さを,私は、それの偉大な美しさを否定するほど愚かではない。
さ,手は,寒さ,で感,私の両手は寒さで感覚がなかった。
さ,この,暗さ,に慣,私の目はまだこの暗さに慣れていない。
み,スを,楽しみ,みに,私の娘はクリスマスを楽しみに待っている。
さ,ぎと,静けさ,さだ,私の望むのは安らぎと静けさだけです。
さ,倍の,広さ,があ,私の部屋は彼の部屋の倍の広さがある。
さ,倍の,広さ,だ。,私の部屋は君の部屋の３倍の広さだ。
さ,倍の,大きさ,さだ,私の部屋はあなたの部屋の二倍の大きさだ。
さ,同じ,長さ,だ。,私の髪はジェーンの髪と同じ長さだ。
さ,同じ,長さ,だ。,私の髪はジェーンのと同じ長さだ。
さ,同じ,長さ,だ。,私の髪はジェーンと同じ長さだ。
さ,倍の,重さ,があ,私の箱はあなたの箱の２倍の重さがあります。
み,骨の,痛み,はひ,私の背骨の痛みはひどくなっています。
み,いに,楽しみ,みに,私の弟は切手収集を大いに楽しみにしている。
み,心は,悲しみ,みで,私の心は悲しみでいっぱいだった。
さ,手は,寒さ,でか,私の手は寒さでかじかんでいる。
み,本が,痛み,ます,私の歯の一本が痛みます。
さ,犬の,大きさ,さは,私の犬の大きさはあなたの犬の半分です。
さ,した,恐ろしさ,しさ,私の経験した恐ろしさはとてもことばでは言い表せません。
み,私の,楽しみ,みの,私の楽しみの１つはテレビを見ることです。
さ,らの,青さ,です,私の印象に残ったのはそらの青さです。
さ,倍の,重さ,があ,私のは箱にはあなたのはこの二倍の重さがある。
さ,いは,若さ,に免,私のおいは若さに免じて許された。
さ,景の,美しさ,さを,私にはこの風景の美しさを言葉で表すことができない。
み,のを,楽しみ,みに,私たちみんなとその家族に会えるのを楽しみにしています。
み,のを,楽しみ,みに,私たちみんながあなたとあなたの家族に会えるのを楽しみにしています。
さ,礼儀,正しさ,さと,私たちは礼儀正しさというのは意識して機能しないということを覚えておくべきです。
み,女の,悲しみ,みに,私たちは彼女の悲しみに気づかなかった。
さ,彼の,若さ,を考,私たちは彼の若さを考慮に入れなければならない。
さ,舎の,美しさ,さを,私たちは田舎の美しさを保存すべきだ。
み,その,楽しみ,み方,私たちは長く寒い冬を過ごすが、その楽しみ方を知っている。
み,くの,楽しみ,みを,私たちは書物から多くの楽しみを得ることができる。
み,して,楽しみ,みま,私たちは昨夜チェスをして楽しみました。
み,事を,楽しみ,みに,私たちはみなあなたに会う事を楽しみにしている。
み,とを,楽しみ,みに,私たちはまたあなたに会えることを楽しみにしています。
み,見て,楽しみ,みま,私たちはテレビを見て楽しみます。
み,れを,楽しみ,みに,私たちはそれを楽しみに待っています。
み,問を,楽しみ,みに,私たちはおじさんの訪問を楽しみにまってます。
み,のを,楽しみ,みに,私たちはあなたとあなたの家族と会うのを楽しみにしている。
み,から,楽しみ,みを,私たちは、書物から楽しみを得ることができる。
み,して,楽しみ,みま,私たちは、テニスをして楽しみました。
み,のを,楽しみ,みに,私たちは、あなたの旅行の話を聞くのを楽しみにしています。
さ,の気,軽さ,で宇,私たちの惑星は飛ぶ鳥の気軽さで宇宙を動いている。
さ,鳥の,気軽さ,さで,私たちの惑星は飛ぶ鳥の気軽さで宇宙を動いている。
さ,校と,大きさ,さが,私たちの学校はあなたの学校と大きさが違っていた。
さ,分な,広さ,です,私たちの家は、５人家族には十分な広さです。
さ,礼儀,正しさ,さの,私たちが意識してほかの礼儀正しさの形をわきまえることが大切である。
さ,は、,暑さ,とい,私が疲れるのは、暑さというよりはむしろ湿度のせいだ。
さ,きの,恐ろしさ,しさ,私がその光景を見たときの恐ろしさをちょっと想像して下さい。
み,雪の,重み,で曲,枝は雪の重みで曲がった。
み,当に,楽しみ,みに,子供たちは夏休みを本当に楽しみに待っている。
さ,まん,強さ,を示,子供たちは、勉強の挫折に対してあまりがまん強さを示さない。
み,女は,悲しみ,みで,子供が死に、彼女は悲しみで気も狂わんばかりであった。
さ,どの,美しさ,さだ,山頂からの日の出は言葉に言い表せないほどの美しさだった。
み,のと,楽しみ,みに,山で静かな休日を過ごせるものと楽しみにしていた。
み,見て,楽しみ,みま,昨夜はナイターを見て楽しみましたか。
さ,その,恐ろしさ,しさ,昨夜エイズの記録映画を見て、その恐ろしさがしみじみ分かった。
さ,しい,寒さ,を経,昨年南極で厳しい寒さを経験した。
み,どい,痛み,をお,昨日、胸にするどい痛みをおぼえた。
さ,しい,寒さ,にや,作物は厳しい寒さにやられた。
さ,は慎,重さ,がな,裁判官には慎重さがなくてはならない。
さ,鎖の,強さ,はそ,鎖の強さはその環の一番弱いところに左右される。
み,歯が,痛み,ます,左上の奥歯が痛みます。
み,節が,痛み,ます,左肩の関節が痛みます。
さ,て勉,強さ,せた,佐藤さんは息子の尻をたたいて勉強させた。
み,とを,楽しみ,みに,今夜皆さんにお会いすることを楽しみにしています。
み,分に,楽しみ,みま,今夜はあなたとのお話を存分に楽しみました。
さ,柄は,良さ,そう,今年は米の作柄は良さそうだ。
さ,りの,寒さ,だそ,今年の冬は２０年ぶりの寒さだそうだ。
さ,番の,暑さ,だ。,今年の夏はこの３０年で一番の暑さだ。
さ,夜の,長さ,が同,今日は昼と夜の長さが同じです。
さ,日は,暑さ,がひ,今日は暑さがひどい。
さ,日の,寒さ,とは,今日は昨日の寒さとはうって変わった陽気だ。
さ,日は,寒さ,がひ,今日は寒さがひどい。
み,日は,楽しみ,みに,今日は楽しみにしてきました。
さ,度の,高さ,まで,今日、気温は摂氏３０度の高さまでも上昇した。
み,ょ？,楽しみ,みだ,今度のイベントのアトラクションにはＫ先生が出るんでしょ？楽しみだなあ実に。
み,のを,楽しみ,みに,今度あなたの町を訪れるときにはあなたにお会いするのを楽しみにしています。
さ,みる,寒さ,だっ,今朝は骨身にしみる寒さだった。
さ,子が,良さ,そう,今朝、彼は昨日よりずっと身体の調子が良さそうだった。
み,,惜しみ,みを,骨惜しみをしてはなにも得ない。
さ,その,大きさ,さに,国家も個人と同様に、その大きさによって評価すべきものではない。
さ,ルの,高さ,を修,合うようにテーブルの高さを修正しなければならない。
さ,儀の,悪さ,は彼,行儀の悪さは彼の良識を疑わせるものだ。
さ,属の,重さ,によ,硬貨の価値は使われた金属の重さによって決まった。
み,旅の,楽しみ,みを,好天気が私達の旅の楽しみを増した。
さ,は尊,重さ,れね,公衆の便宜は尊重されねばならない。
さ,どの,細さ,の小,光ファイバーケーブルは人間の髪の毛ほどの細さの小さなガラスでできている。
み,一の,楽しみ,みだ,碁を打つことが私の唯一の楽しみだ。
さ,ルの,深さ,だ。,湖は約２５メートルの深さだ。
さ,彼の,重さ,を支,湖の氷は彼の重さを支えれなかった。
さ,湖の,深さ,はど,湖の深さはどのくらいですか。
み,とに,楽しみ,みを,孤独なその患者は縫い物をすることに楽しみを感じている。
み,最近,明るみ,みに,古代中国についての新しい事実が最近明るみに出た。
さ,通尊,重さ,れる,個人主義がより行き渡っている国では、人中での喫煙に対する個人的反対が普通尊重される。
さ,争の,恐ろしさ,しさ,言うまでもなく、戦争の恐ろしさは伝えられなければならない。
さ,来の,温かさ,さが,言いかえると、生来の温かさがない限り信頼性は不可能だ。
さ,さと,甘さ,の中,厳しさと甘さの中間を見つける。
さ,,厳しさ,さと,厳しさと甘さの中間を見つける。
さ,での,長さ,でカ,肩までの長さでカットしてください。
さ,康の,尊さ,をい,健康の尊さをいくら評価してもしすぎることはない。
さ,は、,高さ,１メ,劇場の扉の上方にかかっているその言葉は、高さ１メートルありました。
さ,の残,酷さ,は筆,警察署内での拷問の残酷さは筆舌に尽くし難い。
み,活が,明るみ,みに,警察の調べによって彼らの秘密の生活が明るみに出た。
さ,うな,暑さ,がそ,警察によれば、真夏のうだるような暑さがその暴動に火をつけたということだ。
さ,,長さ,んが,課長さんが計画に変更を加えました。
み,早く,明るみ,みに,計画がこれほど早く明るみに出るとは思わなかった。
さ,集は,嬉しさ,さの,群集は嬉しさのあまり歓声を上げた。
さ,背の,高さ,です,君は僕と同じ背の高さです。
さ,彼の,若さ,を考,君は彼の若さを考慮に入れなければならない。
さ,に慎,重さ,を欠,君は行動に慎重さを欠いていた。
さ,この,寒さ,にす,君はこの寒さにすぐ慣れるだろう。
さ,塔の,高さ,がど,君はあのテレビ塔の高さがどれくらいあるか知っていますか。
さ,倍の,大きさ,さだ,君の本は私の本の２倍の大きさだ。
さ,倍の,広さ,があ,君の部屋は私の部屋の２倍の広さがある。
さ,君の,重さ,じゃ,君の重さじゃ氷が割れるよ。
さ,スの,重さ,はど,スーツケースの重さはどれくらいありますか。
さ,分の,大きさ,さし,君のカメラは私のカメラの半分の大きさしかない。
み,のを,楽しみ,みに,君に会うのを楽しみにしている。
み,心の,痛み,が分,君には御両親の心の痛みが分からないのか。
さ,解く,容易さ,さに,君が問題を解く容易さには驚くぜ。
さ,く容,易さ,には,君が問題を解く容易さには驚くぜ。
み,は軽,はずみ,みだ,君が彼の申し出を受けるとは軽はずみだったね。
み,のが,楽しみ,みで,君から手紙が届くのが楽しみです。
さ,ルの,高さ,まで,君が２メートルの高さまでジャンプするのは不可能だ。
さ,どの,美しさ,さだ,君、富士山を見たことあるかい。言葉では言い表せないほどの美しさだよ。
さ,当な,大きさ,さの,靴下は適当な大きさのものがよい。
さ,気に,重さ,があ,空気に重さがある、という考えはその子にはびっくりするようなことだった。
み,,苦しみ,みな,苦しみなくして利益なし。
さ,いの,長さ,です,金門橋はどれくらいの長さですか。
み,のを,楽しみ,みに,近々またお会いできるのを楽しみに待ってます。
み,のを,楽しみ,みに,近々お会いできるのを楽しみにしています。
さ,冬の,寒さ,を考,近づいてくる冬の寒さを考えて我々は予定していたピクニックを取りやめにした。
み,とを,楽しみ,みに,近い内にお便りいただけることを楽しみにしています。
み,のを,楽しみ,みに,近い内にお会いするのを楽しみにしています。
み,のを,楽しみ,みに,近いうちにもう一度お目にかかるのを楽しみにしています。
み,のを,楽しみ,みに,近いうちにまたお目にかかるのを楽しみに待っています。
み,のを,楽しみ,みに,近いうちにあなたにお会いするのを楽しみにしています。
み,やら,悲しみ,みや,驚きやら悲しみやらで彼女は一言も言えなかった。
さ,錠が,はずさ,され,驚いたことにドアの錠がはずされていた。
み,どく,痛み,ます,胸がひどく痛みます。
み,橋が,重み,で落,橋が重みで落ちた。
さ,,恐ろしさ,しさ,恐ろしさが私の心に忍び込み、そこに残った。
さ,烈な,暑さ,だ。,強烈な暑さだ。
さ,寺の,美しさ,さに,京都の魅力は古い寺の美しさにある。
